File Name,Artist,Title
SOLD-WhiteUntitledBlueGreyMultiDots25_5x36_75.jpeg,Eleanor White,Untitled (Blue/Grey Multi Dots)
SOLD-WhiteEggshellBrain19_5x13_75SOLD.jpg,Eleanor White,Eggshell Brain
SOLD-WhiteUntitled_TanCirclesBlackDots19_75x14SOLD.jpg,Eleanor White,"Untitled (Tan Circles, Black Dots)"
SOLD-WhiteGraphMandala005_12x12SOLD.jpg,Eleanor White,Graph Mandala 005
SOLD-WhiteGraphMandala004_12x12SOLD,Eleanor White,Graph Mandala 004 (blue center glass bead dots)
SOLD-WhiteUntitledDiptych23_75x17_75eachSOLD,Eleanor White,Untitled Diptych
SOLD-WhiteUntitledDiptych23_75x17_75eachSOLD.jpeg,Eleanor White,Untitled (Multi Dots) Diptych
SOLD-WhiteBlueBrownDots57_5x17_75SOLD.jpg,Eleanor White,Blue Brown Dots
SOLD-WhiteUntitledBrownBlueDots33_25x10_25SOLD.jpeg,Eleanor White,Untitled (Brown/Blue Dots)
SOLD-WhiteUntitledGrayMultiDots16_25x23SOLD.JPG,Eleanor White,Untitled Gray Multi Dots
N/A,Eleanor White,Double Hearts
